sentence,emotion
"Mountain biking is wonderful, you're on top of the world while you're pedalling and even higher when you've finished.",Joy
"There is a curious feeling of walking on air, which I have never thought as agreeable a sensation as people try to make out.",Joy
"In short, for many employees constructive dismissal claims give rise to a Catch 22.",Surprise
"I didn't like that much because it was so smelly, but a necessary evil.",Disgust
"He was shattered, though he put on a brave face.",Sadness
Or a mite more forgiving in a tight spot?,Surprise
"Moreover, death is just' the tip of the iceberg.",Fear
The effect was to leave the peasant in a vicious circle of poverty.,Disgust
"The performance went off without a hitch and the Vancouver Symphony Orchestra, with Dr Otto Klemperer conducting, played brilliantly.",Joy
He left them in safe hands.,Trust
There is safety in numbers folks.,Joy
"The sign outside may say Cad Mle Fate, but inside you watch your step.",Anticipation
"First, we want promotion this season and we're on course for that.",Joy
And its spectacular fall from grace should serve as a warning.,Fear
Mr Crowe emphasised the achievement was no flash in the pan but the result of continuous improvement over several years.,Joy
I am delighted that they all passed with flying colours.,Joy
"Such deliberation, while the youth of Britain were liable to go up in smoke, outraged many.",Disgust
This is the moment of truth for the Lions the six build-up provincial games can be forgotten.,Anticipation
"But if Mr Kohl is now riding high, East German expectations are riding higher.",Anticipation
"The last two competitors may be called upon to save the day, so always ensure that you keep at least one good finisher.",Anticipation
Not since the surprise smash hit of the year cast a rosy glow over Shore's vehicle.,Anticipation
Signor Candiano's letter had come out of the blue.,Surprise
The blood ran cold in Rory's veins as she stood rooted to the spot in horror.,Fear
We were all struck dumb for the moment.,Joy
The organisation representing rank and file members of the Republic's army was up in arms today over a new security vetting procedure.,Anger
Alexander found himself at odds with these famous words of Shakespeare.,Joy
With the ICAEW examinations the tutors would be up in arms if any referral subject had a pass rate less than the rate for students sitting all papers.,Anger
He decided to try to shake Sien out of her black mood by acting angrily.,Anger
"Well, you'll have all the time you need to be beautiful this summer and that's what summer is about, for crying out loud.",Anticipation
"Because it's a beta version, I don't propose to harp on about any niggles.",Trust
A bit hot under the collar.,Anger
"Regularly, up to three times a week, they would rant and rave in the streets.",Anger
"Well, it was the last straw.",Anger
"I pretended not to notice it, and, as the students listened with bated breath, instructed them to turn to page thirty in Jespersen.",Anticipation
Styczynski had x-rays after saying that he had pains in his chest and pins and needles in his arms.,Fear
"Cis, who knew about it, was scared stiff.",Fear
"But, deep down, every Russian knows that our strength is in our unity.",Trust
They fell head over heels in love and my real Mother returned.,Joy
"He was a strong, healthy lad and as pleased as punch to be working with Dad.",Joy
"For the remainder of the carol I was on tenterhooks, not daring to take my eyes from the lectern.",Fear
The market is down in the dumps.,Sadness
Eva was over the moon.,Joy
My good friends of masher persuasion are in seventh heaven when they have the opportunity of admiring eight pretty faces.,Joy
"Going Live host Phillip, 30, popped the question yesterday and was' thrilled to bits' when 28-year-old Stephanie said yes.",Joy
Of course that's not all there is to this beautiful island.,Joy
"We were trying to diverse the music with the mixture of soul and reggae, though it wasn't really the done thing at that point.",Anticipation
Kenny Schaefer aims to gatecrash the world's top ten by beating York's Commonwealth supermiddleweight champion Henry Wharton on Thursday.,Anticipation
Careful study of this sent alarm bells ringing throughout vast areas of southern and eastern England.,Fear
Turn around and jump back to the wall.,Fear
They have fled the field and left their constituents in the lurch,Disgust
"It means that when pesticides are used, and it is only as a last resort, then the most environmentally friendly are chosen.",Anticipation
"When the future seems to be filled with storm clouds, it may appear that the Church has no other recourse but to batten down the hatches and attempt to ride the storm.",Anticipation
I was determined to take a calculated risk.,Anticipation
A close shave in the post room.,Fear
"This is another high scoring technique, though its use is fraught with danger.",Anticipation
"She says do not worry, but it's wiser to be on the safe side.",Fear
"Take cover, here comes Attila.",Anticipation
"Now watch your step, the path gets a bit steep further down.",Anticipation
England swept aside defending champions Ireland at Hoylake yesterday to stay on course for their first men's amateur Home International title for four years.,Joy
I had a trial pouring and the teapot passed with flying colours.,Joy
"Beatty thinks he's got it made, but she turns to Jack.",Sadness
"If he can't make a go of them, nobody can.",Trust
Australia made inroads into our batting and the moment of truth arrived when Fletch had to go out and bat.,Anticipation
"What God has done fades slowly out of the picture, and we focus increasingly on what we ourselves seem well able to do.",Anticipation
Central bankers are riding high.,Joy
It may not be the London Palladium but it is a smash hit.,Joy
A bolt from the blue is how Dounreay described hearing of her thrilling news that she had been awarded the MBE in The Queen's birthday honours.,Surprise
"Then out of the blue, the radio station sacked them.",Surprise
Virginia's jaw dropped open in surprise.,Surprise
The cap badge with its St Andrew's Cross split in two brought a lump to my throat as I stood rooted to the spot.,Sadness
"Fabia was staring at him, struck dumb, when suddenly he let go one of her arms and placed an arm about her shoulders.",Surprise
"Needless to say, the credit card companies are up in arms at this suggestion and are fighting all the way.",Anger
"He felt cold to the point of shivering, weak enough for standing to be out of the question.",Fear
Can't you give it a rest?,Anger
Alain was getting quite hot under the collar and Dieter seemed to be winding him up on purpose.,Anger
"I'll thank you to mind your own business, Mrs S.",Anger
A farmer has every right to rant and rave about such clowns.,Anger
"But you promised we'd see red grouse, wailed an insatiable lad.",Sadness
"Your letter of 27 Feb, informing me that the current account was overdrawn and charging the Club to rectify this, was the last straw.",Disgust
He's scared stiff of it.,Fear
Rumours about a split in the Smiths camp again reached fever pitch.,Anticipation
"I felt burnt out the next morning, but everyone else was raring to go.",Sadness
"I was taken aback, but deep down I wasn't totally surprised.",Surprise
But there were no hard feelings,Fear
All steamed up over the real thing.,Anger
It's a challenge all the more remarkable for the fact that not so long ago jetting off on holiday made her weak at the knees.,Surprise
Everyone's so down in the dumps and poor.,Sadness
She was over the moon with it.,Joy
Vicky is thrilled to bits that the dog has been found.,Joy
I was on top of the world.,Joy
Many centuries of trial and error would elapse before Ireland's dark secret would be revealed.,Surprise
"It sent alarm bells ringing throughout the East, and brought Russia into renewed conflict with China.",Fear
How can this vicious circle be broken?,Anger
It was a close shave.,Surprise
"Apart from the administrative and cost difficulties, linking nurses pay to performance is fraught with danger, says Mr Thompson.",Anticipation
Millie the cat is back in safe hands.,Joy
The reputation of Hawaii was at stake.,Fear
It may not be as big a blockbuster as Jurassic Park but it certainly won't create anywhere near as much hype.,Sadness
April 1992 saw the car completed and it passed its MOT with flying colours.,Joy
Carol found herself wishing that Fred could make a go of something.,Sadness
"Oh, pack it in, this is serious.",Anger
By this stage Labour should have been riding high.,Anticipation
So it was the dreaded wooden spoon for the Irish.,Fear
"Well, there was a time when it was a bolt from the blue, I mean I've known for a week or two, but we were delighted to receive it.",Joy
"But before I had finished this wearisome task, the cheque arrived out of the blue.",Surprise
"An American is standing in an Oxford quadrangle, jaw dropped.",Surprise
"Suddenly, lo and behold, what should they see but the tiger and the jackal coming toward them with their tails tied together.",Surprise
"Lorne stood rooted to the spot, squinting furiously through his monocle.",Anger
"We were both rigid as enemies, longing to come to blows.",Anger
But in the next move tit for tat retaliates.,Anticipation
He did his best to paper over the cracks.,Fear
"In 1987, when I was chosen to fight my first election at Birmingham's Perry Barr, I was on cloud nine, even though it was a safe Labour seat.",Joy
